baterryNo,U,A,T,R,recordtime,recordTime,SOC
5,2172,80,127,4738,2022/1/3 11:44,01031144,1
5,2172,76,127,4738,2022/1/3 11:44,01031144,1
5,2172,93,127,4738,2022/1/3 11:45,01031145,0.9999535
5,2172,99,127,4738,2022/1/3 11:45,01031145,0.9999535
5,2172,99,127,4738,2022/1/3 11:45,01031145,0.9999535
5,2174,103,127,4738,2022/1/3 11:45,01031145,0.9999535
5,2184,86,127,4738,2022/1/3 11:45,01031145,0.9999535
5,2174,98,127,4738,2022/1/3 11:45,01031145,0.9999535
5,2169,32,127,4738,2022/1/3 11:46,01031146,0.9999375
5,2172,102,127,4738,2022/1/3 11:46,01031146,0.9999375
5,2174,102,127,4738,2022/1/3 11:46,01031146,0.9999375
5,2172,101,127,4738,2022/1/3 11:46,01031146,0.9999375
5,2174,101,127,4738,2022/1/3 11:46,01031146,0.9999375
5,2172,72,127,4738,2022/1/3 11:46,01031146,0.9999375
5,2174,101,127,4738,2022/1/3 11:47,01031147,0.999887
5,2175,101,127,4738,2022/1/3 11:47,01031147,0.999887
5,2175,103,127,4738,2022/1/3 11:47,01031147,0.999887
5,2172,61,127,4738,2022/1/3 11:47,01031147,0.999887
5,2174,101,127,4738,2022/1/3 11:47,01031147,0.999887
5,2175,57,127,4738,2022/1/3 11:47,01031147,0.999887
5,2175,103,127,4738,2022/1/3 11:48,01031148,0.9998355
5,2186,103,127,4738,2022/1/3 11:48,01031148,0.9998355
5,2175,78,127,4738,2022/1/3 11:48,01031148,0.9998355
5,2176,102,127,4738,2022/1/3 11:48,01031148,0.9998355
5,2174,88,127,4738,2022/1/3 11:48,01031148,0.9998355
5,2180,186,127,4738,2022/1/3 11:48,01031148,0.9998355
5,2174,186,126,4738,2022/1/3 11:49,01031149,0.9997425
5,2176,104,126,4738,2022/1/3 11:49,01031149,0.9997425
5,2175,73,126,4738,2022/1/3 11:49,01031149,0.9997425
5,2177,101,126,4738,2022/1/3 11:49,01031149,0.9997425
5,2176,101,127,4738,2022/1/3 11:49,01031149,0.9997425
5,2177,102,127,4738,2022/1/3 11:49,01031149,0.9997425
5,2177,102,126,4738,2022/1/3 11:50,01031150,0.9996915
5,2186,101,126,4738,2022/1/3 11:50,01031150,0.9996915
5,2174,83,127,4738,2022/1/3 11:50,01031150,0.9996915
5,2176,100,127,4738,2022/1/3 11:50,01031150,0.9996915
5,2177,102,127,4738,2022/1/3 11:50,01031150,0.9996915
5,2177,102,127,4738,2022/1/3 11:50,01031150,0.9996915
5,2176,101,127,4738,2022/1/3 11:51,01031151,0.999641
5,2177,104,127,4738,2022/1/3 11:51,01031151,0.999641
5,2177,101,127,4738,2022/1/3 11:51,01031151,0.999641
5,2177,104,127,4738,2022/1/3 11:51,01031151,0.999641
